proxy_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rfm_pred
900797,Meade,McReedy,Female,94,1968-11-23,53.25579316,Safety Technician IV,Financial Services,Affluent Customer,N,Yes,9,04153 Johnson Point,2193,NSW,Australia,10,9.468065751
900543,Reiko,Degenhardt,Female,83,1976-01-16,46.10510823,Financial Analyst,Financial Services,High Net Worth,N,Yes,5,50897 Northfield Road,4280,QLD,Australia,6,9.445435251
900747,Flore,Cashen,Female,79,1978-06-21,43.67497124,,Health,High Net Worth,N,No,17,4 Vera Pass,2640,NSW,Australia,4,9.43152566
900795,Davie,Blay,Male,94,1985-12-19,36.17360138,Financial Analyst,Financial Services,Mass Customer,N,No,8,7021 5th Alley,2770,NSW,Australia,7,9.429494527
900070,Bessie,Roscow,Female,78,1994-08-04,27.54346439,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,9.422510055
900337,Nicole,Ruckhard,Female,93,1969-10-09,52.37908083,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,9.418662896
900267,Lark,Gonet,Female,89,1972-01-17,50.10510823,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,9.418453746
900032,Sybilla,MacCart,Female,88,1987-01-15,35.09962877,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,9.414306151
900036,Farlie,Petford,Male,76,1968-03-25,53.92154658,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,9.41022754
900391,Nora,Anselm,Female,84,1961-01-05,61.14346439,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,9.404155191
900439,Bunny,Leebetter,Female,83,1966-04-30,55.82565617,Quality Engineer,Manufacturing,High Net Worth,N,Yes,8,4 Lukken Lane,4301,QLD,Australia,4,9.384776524
900789,Darlleen,Shalcras,Female,77,1980-09-14,41.4393548,Health Coach I,Health,Mass Customer,N,No,11,383 Graceland Avenue,2010,NSW,Australia,10,9.372660955
900630,Nady,Withinshaw,Female,96,1968-02-17,54.02291644,Database Administrator III,,High Net Worth,N,No,8,7 Brentwood Circle,4000,QLD,Australia,7,9.36555779
900217,Dorian,Stollen,Male,78,1980-02-16,42.01743699,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,9.365327324
900888,Denny,Spleving,Female,84,1973-05-13,48.78456028,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,5,85420 Myrtle Road,2114,NSW,Australia,8,9.362623062
900578,Kiley,Grunder,Male,95,1994-04-17,27.84209453,Cost Accountant,Financial Services,Affluent Customer,N,Yes,1,17393 Colorado Hill,4006,QLD,Australia,8,9.356800946
900516,Perry,Whitehurst,Male,79,1980-05-29,41.73524521,Structural Engineer,Manufacturing,High Net Worth,N,Yes,8,0 Nelson Crossing,3155,VIC,Australia,7,9.347106411
900937,Noami,Cokly,Female,74,1962-09-17,59.44483425,,Manufacturing,Mass Customer,N,Yes,15,2886 Buena Vista Terrace,2038,NSW,Australia,11,9.342068306
900270,Theresa,Cowper,Female,99,1976-08-24,45.49962877,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,9.335894949
900596,Maximilian,Geffen,Male,96,1955-07-13,66.63113562,Automation Specialist III,Manufacturing,Mass Customer,N,Yes,20,8634 Wayridge Pass,2750,NSW,Australia,8,9.325213632
900793,Sloan,Pudney,Male,83,1964-11-10,57.29414932,Junior Executive,Financial Services,Affluent Customer,N,No,16,6771 Pleasure Terrace,4557,QLD,Australia,9,9.321640919
900239,Robenia,Monks,Female,94,1959-05-08,62.80921781,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,9.318252331
900597,Ajay,Worham,Female,80,1979-09-30,42.39825891,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,12,5 Homewood Road,2800,NSW,Australia,6,9.316582614
900965,Leona,Shorrock,Female,83,1951-08-23,70.52154658,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,22,1560 Grim Avenue,4720,QLD,Australia,1,9.312468445
900286,Giana,Staresmeare,Female,96,1976-04-20,45.84483425,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,9.308990279
900378,Palmer,Heaven,Male,82,1995-05-18,26.75716302,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,9.308757921
900129,Aurie,Rhead,Female,78,1962-07-28,59.58456028,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,9.298412821
900316,Clari,Voas,Female,74,1955-07-28,66.59003973,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,9.29740052
900636,Wolf,Craft,Male,93,1995-07-19,26.58730001,Database Administrator III,Retail,Affluent Customer,N,Yes,5,7513 Swallow Drive,2148,NSW,Australia,9,9.296263452
900405,Tanner,Terlinden,Male,84,1995-12-09,26.19551918,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,9.293325559
900556,Olive,Mozzi,Female,87,1955-07-06,66.6503137,Account Representative IV,Retail,Affluent Customer,N,Yes,20,26667 Rigney Place,2567,NSW,Australia,9,9.281691361
900479,Lucien,,Male,83,1966-09-14,55.4503137,,Financial Services,High Net Worth,N,Yes,19,777 Fairfield Court,4305,QLD,Australia,3,9.264716082
900200,Engracia,Dobbs,Female,84,1959-04-19,62.86127261,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,9.264102327
900487,Anthony,Lindstrom,Male,86,1997-11-01,24.29688905,Geologist IV,Financial Services,Affluent Customer,N,Yes,10,427 Oak Avenue,2205,NSW,Australia,10,9.262669494
900777,Eachelle,Noirel,Female,93,1974-01-26,48.07771097,Registered Nurse,Health,Affluent Customer,N,Yes,11,80 Schiller Center,2292,NSW,Australia,6,9.261020295
900682,Patrice,Pariss,Male,96,1954-06-15,67.70784795,VP Accounting,Financial Services,Mass Customer,N,No,9,3745 Thierer Trail,4078,QLD,Australia,5,9.258897167
900538,Sammy,Borsi,Female,99,1972-04-27,49.8283959,Accountant III,Financial Services,Mass Customer,N,No,5,0 Kipling Way,2289,NSW,Australia,7,9.256804759
900162,Fonsie,Levane,Male,96,1951-07-10,70.64209453,Account Representative III,,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,9.252243619
900015,Dukie,Swire,Male,88,1954-03-31,67.91606713,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,9.247537013
900911,Felice,Dechelette,Male,75,1998-02-05,24.03387535,Librarian,Entertainment,High Net Worth,N,No,3,4 Kingsford Trail,4051,QLD,Australia,4,9.237303889
900121,Teddy,Lagadu,Female,86,1969-07-20,52.60099864,Design Engineer,,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,9.235418152
900956,Ellwood,Budden,Male,82,1998-06-03,23.71058768,,Health,Mass Customer,N,Yes,11,79907 Randy Center,2192,NSW,Australia,10,9.231887261
900599,Dorian,Emery,Female,94,1998-08-24,23.48593014,Professor,Manufacturing,Mass Customer,N,Yes,9,67 Beilfuss Plaza,2168,NSW,Australia,8,9.231822272
900047,Jobina,Gobourn,Female,85,1994-12-04,27.20921781,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,9.226526677
900210,Abbie,Oldman,Male,82,1983-11-26,38.2393548,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,9.217648592
900068,Vivienne,Crayden,Female,82,1988-09-18,33.42291644,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,9.209140586
900852,Clarine,Piecha,Female,99,1964-12-07,57.22017672,Dental Hygienist,Health,High Net Worth,N,No,14,7523 Eggendart Hill,4151,QLD,Australia,10,9.207756032
900643,Caritta,Compston,Female,86,1958-04-25,63.84483425,Geological Engineer,Manufacturing,Mass Customer,N,Yes,17,48971 Marquette Point,3976,VIC,Australia,5,9.203138216
900295,Geoff,Sitford,Male,97,1965-02-27,56.99551918,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,9.201736676
900915,Kizzee,Agget,Female,98,1976-07-25,45.58182055,Statistician II,Manufacturing,Affluent Customer,N,No,8,122 Marcy Park,2213,NSW,Australia,10,9.201196396
900442,Anet,Roseman,Female,84,1996-11-24,25.23387535,Programmer Analyst III,Financial Services,Mass Customer,N,No,9,31 Melody Circle,3814,VIC,Australia,4,9.192269872
900388,Hanson,Eastes,Male,74,1990-05-20,31.75442329,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,9.174003375
900731,Tomaso,Horsley,Male,97,2001-04-16,20.8393548,Junior Executive,Financial Services,Mass Customer,N,Yes,10,70360 Onsgard Plaza,3977,VIC,Australia,6,9.158149923
900134,Padraig,Snel,Male,89,1970-11-08,51.29688905,Staff Accountant II,,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,9.143374078
900699,Bertine,Smalles,Female,85,1983-12-10,38.20099864,VP Quality Control,Financial Services,Mass Customer,N,Yes,9,7 Johnson Hill,3028,VIC,Australia,8,9.141362716
900028,Blinnie,Roze,Female,84,1960-12-10,61.21469727,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,9.129498091
900601,Agna,Cowpe,Female,88,1969-03-05,52.9763411,,Property,Mass Customer,N,Yes,7,2 Main Lane,4114,QLD,Australia,3,9.127207894
900412,Salomon,Perkins,Male,76,1998-01-12,24.09962877,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,9.122805549
900317,Zach,Hedman,Male,87,1981-09-11,40.44757398,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,9.121945443
900919,Eugenie,Brinson,Female,79,1963-08-10,58.54894384,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,17,7109 Grayhawk Avenue,3073,VIC,Australia,6,9.120549259
900371,Harriet,Brattan,Female,81,1986-12-03,35.21743699,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,9.117457801
900666,Wylie,Huntingdon,Male,99,1966-08-11,55.54346439,VP Quality Control,Financial Services,Mass Customer,N,No,15,08822 Duke Road,2763,NSW,Australia,8,9.112378698
900073,Mabelle,Wellbelove,Female,76,1958-04-21,63.85579316,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,9.103803312
900548,Worthington,Ahmed,Male,79,1972-03-24,49.92154658,Senior Cost Accountant,Financial Services,High Net Worth,N,No,13,39408 Manufacturers Road,3335,VIC,Australia,3,9.096422173
900249,Shadow,Yakutin,Male,85,1967-02-03,55.06127261,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,9.092621868
900010,Rockwell,Matson,Male,94,1995-01-01,27.13250549,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,9.092618174
900420,Jobie,Runacres,Female,96,1975-01-08,47.12702603,Developer IV,,Mass Customer,N,Yes,18,24960 Shopko Crossing,2528,NSW,Australia,7,9.092292129
900311,Guss,Karim,Male,95,1968-11-24,53.25305343,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,9.090264227
900668,Averil,Ackery,Male,93,1970-09-09,51.46127261,Sales Representative,Retail,Mass Customer,N,Yes,7,344 Darwin Junction,2093,NSW,Australia,12,9.090150613
900822,Andy,Deeming,Male,79,1979-01-09,43.12154658,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Yes,7,63386 Talisman Hill,4556,QLD,Australia,8,9.082824113
900532,Donn,MacGregor,Male,80,1965-04-22,56.84757398,Civil Engineer,Manufacturing,High Net Worth,N,No,5,0439 Mandrake Park,2046,NSW,Australia,10,9.071553959
900336,Kylynn,Drowsfield,Female,80,1975-03-28,46.91058768,Editor,,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,9.058831548
900972,Kellen,Pawelski,Female,83,1945-07-26,76.60099864,,Manufacturing,High Net Worth,N,Yes,11,125 Manufacturers Parkway,2193,NSW,Australia,8,9.0530972
900807,Keelby,Sudlow,Male,96,1988-09-01,33.46949179,Marketing Assistant,Manufacturing,High Net Worth,N,No,12,8042 Cherokee Court,3163,VIC,Australia,8,9.043855142
900533,Laurel,Devennie,Female,78,1976-09-25,45.41195754,VP Product Management,Manufacturing,Affluent Customer,N,No,13,069 Hoard Pass,4352,QLD,Australia,5,9.038077011
900579,Ethelred,Sissel,Male,83,1974-12-25,47.1653822,Programmer Analyst IV,Health,High Net Worth,N,No,18,65 Rutledge Parkway,2539,NSW,Australia,8,9.035070388
900519,Nico,Chadwick,Male,97,1953-05-24,68.76812192,Research Assistant IV,Financial Services,Affluent Customer,N,No,13,355 Roxbury Lane,3190,VIC,Australia,8,9.034708974
900361,Daisi,Tinwell,Female,84,1971-12-24,50.17086165,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,9.033785341
900557,Benedict,Rosas,Male,73,1955-11-25,66.26127261,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,Australia,6,9.031946897
900244,Cammy,Stoneham,Female,74,1963-05-02,58.82291644,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,9.031916623
900828,Catha,Davitt,Female,79,1958-04-16,63.86949179,Environmental Specialist,Property,High Net Worth,N,Yes,6,192 South Junction,2567,NSW,Australia,7,9.02308336
900889,Olia,O' Mullan,Female,77,1973-03-24,48.92154658,Account Executive,Health,Mass Customer,N,No,8,6315 Mendota Parkway,2263,NSW,Australia,7,9.018143271
